City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
3,Vao,NC,77.92,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
8,Carnarvon,AU,87.87,few clouds,-24.8667,113.6333,Hospitality Carnarvon
9,Noumea,NC,80.01,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
12,Rikitea,PF,77.88,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Kapaa,US,71.92,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Port Elizabeth,ZA,89.1,clear sky,-33.918,25.5701,39 On Nile Guest House
18,The Valley,AI,82.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
19,Faanui,PF,79.75,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Kalmunai,LK,74.71,scattered clouds,7.4167,81.8167,VS Villa
22,Bengkulu,ID,76.62,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
26,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
30,Isangel,VU,79.34,clear sky,-19.55,169.2667,Tanna Lodge
31,Mar Del Plata,AR,71.87,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
33,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
37,East London,ZA,79.74,few clouds,-33.0153,27.9116,Tu Casa
39,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
41,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
52,Katherine,AU,75.52,shower rain,-14.4667,132.2667,Pine Tree Motel
53,Angoche,MZ,81.14,broken clouds,-16.2325,39.9086,Guest House HESADA
55,Busselton,AU,74.05,clear sky,-33.65,115.3333,Observatory Guest House
58,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
65,Dingle,PH,74.25,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
69,George Town,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
71,Port Hedland,AU,86.05,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
76,Bandarbeyla,SO,77.27,scattered clouds,9.4942,50.8122,JABIR HOTEL
79,Chimoio,MZ,75.06,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
82,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
83,Atuona,PF,77.88,broken clouds,-9.8,-139.0333,Villa Enata
88,Quatre Cocos,MU,84.31,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
93,Libertador General San Martin,AR,87.98,scattered clouds,-23.8064,-64.7876,Posada del Sol
94,Gizo,SB,83.23,light rain,-8.103,156.8419,Imagination Island
95,Takhatpur,IN,70.11,broken clouds,22.15,81.8667,School nigarband
