City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,83.89,75,20,3.0,few clouds
1,Perote,MX,19.5667,-97.2333,46.67,89,100,3.78,overcast clouds
2,West Lafayette,US,40.4259,-86.9081,22.1,71,100,9.22,overcast clouds
3,Vao,NC,-22.6667,167.4833,77.92,84,74,4.36,broken clouds
4,Alanya,TR,36.5438,31.9998,51.93,77,100,25.1,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,51.46,76,75,14.97,broken clouds
6,Barrow,US,71.2906,-156.7887,-11.18,70,75,20.71,haze
7,Mayo,US,38.8876,-76.5119,24.17,57,0,7.0,clear sky
8,Carnarvon,AU,-24.8667,113.6333,87.87,35,15,17.27,few clouds
9,Noumea,NC,-22.2763,166.4572,80.01,99,34,3.2,scattered clouds
10,Norman Wells,CA,65.282,-126.8329,-2.16,65,75,21.85,broken clouds
11,New Norfolk,AU,-42.7826,147.0587,62.74,67,98,1.81,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,77.88,72,100,11.05,overcast clouds
13,Kangaatsiaq,GL,68.3065,-53.4641,-1.52,96,100,9.19,light snow
14,Pevek,RU,69.7008,170.3133,-35.28,99,97,3.67,overcast clouds
15,Jamestown,US,42.097,-79.2353,14.52,61,0,1.01,clear sky
16,Kapaa,US,22.0752,-159.319,71.92,83,100,1.01,overcast clouds
17,Port Elizabeth,ZA,-33.918,25.5701,89.1,73,0,28.77,clear sky
18,The Valley,AI,18.217,-63.0578,82.81,61,20,17.27,few clouds
19,Faanui,PF,-16.4833,-151.75,79.75,77,100,12.01,moderate rain
20,Kalmunai,LK,7.4167,81.8167,74.71,68,43,5.88,scattered clouds
21,Tilichiki,RU,60.4667,166.1,-18.72,82,0,8.43,clear sky
22,Bengkulu,ID,-3.8004,102.2655,76.62,88,100,2.98,moderate rain
23,Mahon,ES,39.8885,4.2658,52.36,58,0,11.5,clear sky
24,Nova Olimpia,BR,-14.7972,-57.2881,90.16,51,34,3.13,scattered clouds
25,Awjilah,LY,29.1081,21.2869,62.87,30,60,10.96,broken clouds
26,Sibu,MY,2.3,111.8167,79.11,94,40,0.0,scattered clouds
27,Lebu,CL,-37.6167,-73.65,59.22,90,100,9.64,overcast clouds
28,Nikolskoye,RU,59.7035,30.7861,24.69,98,95,3.49,light snow
29,Bredasdorp,ZA,-34.5322,20.0403,96.28,61,32,14.97,scattered clouds
30,Isangel,VU,-19.55,169.2667,79.34,85,6,2.13,clear sky
31,Mar Del Plata,AR,-38.0023,-57.5575,71.87,98,100,7.0,moderate rain
32,Leningradskiy,RU,69.3833,178.4167,-19.7,96,100,10.27,overcast clouds
33,Port Blair,IN,11.6667,92.75,77.04,83,20,2.3,mist
34,Cape Town,ZA,-33.9258,18.4232,97.27,32,20,14.97,few clouds
35,Narsaq,GL,60.9167,-46.05,10.62,64,1,6.55,clear sky
36,Mataura,NZ,-46.1927,168.8643,54.48,88,32,5.01,scattered clouds
37,East London,ZA,-33.0153,27.9116,79.74,69,20,23.02,few clouds
38,Khandbari,NP,27.3747,87.2039,51.49,80,94,1.95,overcast clouds
39,Puerto Ayora,EC,-0.7393,-90.3518,75.16,80,97,5.12,overcast clouds
40,Dikson,RU,73.5069,80.5464,7.18,97,100,4.88,light snow
41,Vaini,TO,-21.2,-175.2,78.96,89,40,6.91,scattered clouds
42,Great Falls,US,47.5002,-111.3008,38.59,56,100,19.57,overcast clouds
43,Tukrah,LY,32.5341,20.5791,58.96,60,25,21.61,scattered clouds
44,Arsk,RU,56.0915,49.8778,17.38,94,100,13.24,light snow
45,Punta Arenas,CL,-53.15,-70.9167,53.62,62,100,9.22,light intensity shower rain
46,Bluff,NZ,-46.6,168.3333,54.81,73,32,17.2,scattered clouds
47,Balakhninskiy,RU,58.0106,114.2769,-17.1,100,97,2.98,overcast clouds
48,Kushmurun,KZ,52.4503,64.6311,9.18,95,100,6.93,overcast clouds
49,Hasaki,JP,35.7333,140.8333,36.0,44,100,5.23,overcast clouds
50,Shingu,JP,33.7333,135.9833,38.32,61,52,4.52,broken clouds
51,Ribeira Grande,PT,38.5167,-28.7,61.2,72,40,14.97,scattered clouds
52,Katherine,AU,-14.4667,132.2667,75.52,100,100,4.61,shower rain
53,Angoche,MZ,-16.2325,39.9086,81.14,76,76,13.51,broken clouds
54,Tuatapere,NZ,-46.1333,167.6833,54.82,88,25,6.85,scattered clouds
55,Busselton,AU,-33.65,115.3333,74.05,57,2,10.67,clear sky
56,Rundu,NA,-17.9333,19.7667,87.21,20,39,11.74,scattered clouds
57,Rocha,UY,-34.4833,-54.3333,92.5,55,25,1.25,scattered clouds
58,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,0,20.71,clear sky
59,Xining,CN,36.6167,101.7667,24.31,84,44,2.8,scattered clouds
60,Yellowknife,CA,62.456,-114.3525,-31.72,75,40,3.44,scattered clouds
61,Guilin,CN,25.2819,110.2864,53.71,96,100,3.78,overcast clouds
62,Albany,US,42.6001,-73.9662,4.62,65,5,2.42,clear sky
63,Somerset East,ZA,-32.7217,25.588,90.52,21,0,22.39,clear sky
64,Hvolsvollur,IS,63.7533,-20.2243,39.87,63,100,23.73,overcast clouds
65,Dingle,PH,10.9995,122.6711,74.25,91,100,7.34,overcast clouds
66,Sebeta,ET,8.9167,38.6167,63.46,40,93,13.53,overcast clouds
67,Hermanus,ZA,-34.4187,19.2345,97.81,48,4,16.93,clear sky
68,Esperance,AU,-33.8667,121.9,64.24,93,33,9.4,scattered clouds
69,George Town,MY,5.4112,100.3354,83.89,75,20,3.0,few clouds
70,Lavrentiya,RU,65.5833,-171.0,6.94,95,100,13.67,snow
71,Port Hedland,AU,-20.3167,118.5667,86.05,74,100,14.97,overcast clouds
72,Nongstoin,IN,25.5167,91.2667,44.62,85,46,2.57,scattered clouds
73,Te Anau,NZ,-45.4167,167.7167,47.12,95,76,2.1,broken clouds
74,Marienburg,PL,54.0359,19.0266,35.11,74,99,12.59,overcast clouds
75,Henties Bay,NA,-22.116,14.2845,73.85,80,100,11.77,overcast clouds
76,Bandarbeyla,SO,9.4942,50.8122,77.27,74,34,22.66,scattered clouds
